AGE,GENDER,COUNTRY_WORKING_IN,WFH
34,Male,United Kingdom,Sometimes
27,male,United States of America,Sometimes
39,Male,United Kingdom,Sometimes
27,Male,United Kingdom,Sometimes
31,Male,Czech Republic,Sometimes
26,Male,United Kingdom,Never
44,male,United States of America,Always
27,male,United States of America,Sometimes
57,Female,United States of America,Sometimes
34,m,United States of America,Sometimes
38,Male,United States of America,Sometimes
55,Male,United States of America,Always
28,male,Costa Rica,Sometimes
35,Male,United States of America,Never
26,Male,United States of America,Always
22,female,United States of America,Never
31,Male,United States of America,Sometimes
31,male,United Kingdom,Never
40,Male,Germany,Sometimes
26,m,United States of America,Sometimes
36,M,United States of America,Sometimes
33,Male,United States of America,Sometimes
24,F,United States of America,Sometimes
22,male,Vietnam,Sometimes
33,male,United States of America,Always
37,f,United States of America,Sometimes
29,Male,United States of America,Always
38,Male,United States of America,Sometimes
33,m,United States of America,Sometimes
44,Female,Canada,Always
23,Male,United States of America,Sometimes
30,M,United States of America,Sometimes
30,Man,United States of America,Never
28,male,United States of America,Sometimes
39,male,United States of America,Never
24,Female,United States of America,Never
27,Male,United Kingdom,Always
35,Male,United States of America,Sometimes
23,Male,United States of America,Never
37,M,United States of America,Sometimes
35,Male,United States of America,Sometimes
27,Male,United States of America,Sometimes
27,Female,United States of America,Always
27,Female,United States of America,Never
42,m,United States of America,Sometimes
32,Sex is male,United States of America,Never
26,Male,Finland,Sometimes
28,Male,Bulgaria,Never
28,M,United States of America,Sometimes
32,Male,United States of America,Sometimes
43,male,United States of America,Always
34,Male,United States of America,Never
61,f,United States of America,Sometimes
50,Male,United States of America,Always
38,Male,India,Sometimes
51,m,Germany,Sometimes
38,male,Ireland,Sometimes
34,male,United States of America,Always
43,Male,United States of America,Always
43,Female,United States of America,Sometimes
44,Male,United States of America,Always
35,m,United States of America,Sometimes
50,Male,United States of America,Always
29,Male,United States of America,Sometimes
29,Male,United States of America,Never
36,Male,Canada,Sometimes
33,Male,Australia,Sometimes
50,Male,Australia,Sometimes
46,Male,United States of America,Always
44,Female,New Zealand,Always
23,none of your business,United States of America,Sometimes
41,Male,United States of America,Sometimes
31,male,Canada,Sometimes
55,male,United States of America,Sometimes
34,M,United States of America,Sometimes
28,Female,United States of America,Always
33,m,United States of America,Sometimes
29,Male,United States of America,Sometimes
33,Female,United States of America,Sometimes
28,male,United States of America,Sometimes
28,male,United States of America,Sometimes
32,Male,United States of America,Sometimes
36,female,United States of America,Never
45,Male,United Kingdom,Sometimes
29,M,United Kingdom,Always
23,Male,France,Never
54,Female,Canada,Always
61,F,United States of America,Sometimes
29,Female,United States of America,Sometimes
31,Male,Australia,Sometimes
37,M,United States of America,Always
29,Male,Germany,Never
28,Male,United Kingdom,Always
30,Male,United Kingdom,Sometimes
55,Male,United Kingdom,Always
38,Female,United States of America,Never
20,male,Canada,Sometimes
25,Male,United States of America,Sometimes
22,Male,Spain,Always
35,Male,United Kingdom,Sometimes
27,male,United States of America,Never
24,Male,United States of America,Sometimes
39,Male,Australia,Always
29,Male,Brazil,Never
40,Female,United States of America,Never
30,Male,United States of America,Always
32,Male,Canada,Sometimes
34,m,Germany,Sometimes
35,F,Canada,Sometimes
30,Male,United States of America,Sometimes
36,Male,United Kingdom,Never
26,male,Sweden,Sometimes
31,Female,Netherlands,Never
33,Male,South Africa,Never
30,Male,United Kingdom,Sometimes
46,m,United Kingdom,Always
32,Male,United States of America,Sometimes
34,male,United States of America,Sometimes
41,male,United States of America,Always
32,Male,United States of America,Always
47,Male,United States of America,Sometimes
29,male,United States of America,Always
36,male,United States of America,Sometimes
32,Male,United States of America,Sometimes
29,Male,United States of America,Sometimes
22,Male,United Kingdom,Never
32,female,United States of America,Sometimes
19,Female,United States of America,Never
30,Male,South Africa,Sometimes
32,genderqueer,United States of America,Always
22,M,United States of America,Sometimes
30,male,Poland,Always
323,Male,United States of America,Sometimes
33,male,Slovakia,Sometimes
48,f,United Kingdom,Never
45,male,Germany,Never
28,Male,United Kingdom,Sometimes
44,male,United States of America,Sometimes
31,Male,United States of America,Sometimes
31,f,United States of America,Sometimes
29,Male,United States of America,Never
26,Male,United States of America,Never
35,f,United States of America,Sometimes
44,m,Austria,Sometimes
45,male,United States of America,Always
22,Female,United States of America,Sometimes
34,Male,United States of America,Sometimes
35,Male,United Kingdom,Never
39,Male,United States of America,Sometimes
26,Male,Denmark,Never
41,Male,United States of America,Sometimes
24,Male,Australia,Sometimes
24,Male,United States of America,Never
34,male,United States of America,Sometimes
36,Male,Australia,Sometimes
41,Male,Australia,Sometimes
21,Male,United States of America,Never
33,Male,Bangladesh,Sometimes
32,Male,India,Always
62,Female,United States of America,Never
37,M,United States of America,Sometimes
32,male,United States of America,Always
31,Male,United States of America,Sometimes
28,Male,United States of America,Sometimes
48,Female,United States of America,Always
40,male,United States of America,Sometimes
29,Male,Norway,Never
33,M,Germany,Never
27,Male,Finland,Sometimes
24,m,Australia,Sometimes
28,Male,Netherlands,Sometimes
42,Male,United States of America,Always
28,m,United Kingdom,Sometimes
40,Male,Canada,Always
32,Female,United States of America,Always
33,Male,United States of America,Always
40,m,United States of America,Always
26,Male,United States of America,Never
39,Female,United States of America,Sometimes
38,Male,United Kingdom,Never
34,Male,United States of America,Sometimes
44,Male,Netherlands,Never
54,Male,United Kingdom,Always
24,male,Pakistan,Always
31,Male,United States of America,Sometimes
47,cis male,United States of America,Sometimes
30,Male,Australia,Sometimes
34,M,United States of America,Always
29,Human,United States of America,Sometimes
27,Male,United States of America,Sometimes
29,male,United States of America,Never
43,Female,United States of America,Sometimes
31,Genderfluid,United States of America,Sometimes
27,Male,Norway,Never
29,M,United Kingdom,Never
29,Male,United Kingdom,Never
42,Male,United States of America,Sometimes
26,Female,United States of America,Always
26,male,Switzerland,Sometimes
34,Male,United Kingdom,Sometimes
24,Male,United States of America,Sometimes
25,male,United States of America,Never
22,M,United States of America,Sometimes
33,male,United States of America,Sometimes
53,m,United States of America,Always
32,M,Canada,Never
32,male,United States of America,Sometimes
55,m,United States of America,Sometimes
27,male,France,Never
